nr_crt,sucursala,departament,adresa_imobil,constructie_mp,teren_mp,observatii
14,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL Bloc locuinţe G6 si teren din Str. Av. Alex. Şerbănescu, nr.4-6, sector 1, Bucureşti Uscator scara 2",19.23,6.86,in eventualitatea unor vanzari se va stabili de catre evaluator cota indiviza pentru apartamente
15,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din sos.Bucuresti-Ploiesti, nr 113 sect. 1, Bucuresti",-,"3,046.00",ramasi in urma transferului catre alte institutii ale statului (urmeaza propunere vanzare)
16,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren arabil si constructii - Ferma Vlasia, Snagov, IF",409,"643,876.00","un lot a fost in procedura de licitatie de inchiriere - fara ofertanti, iar la lotul 2 a fost recent realizat cadastru cu inscrierea locuintelor (urmeaza propunere vanzare)"
17,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii - Ferma Vlasia, Snagov, IF",458,"14,675.00",a fost parcursa toata procedura de licitatie de inchiriere - fara ofertanti (urmeaza propunere vanzare)
18,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren Ferma Vlasia, Snagov, IF",-,765.00,rest teren ramas in urma exproprierilor CNAIR (transfer catre CNAIR sau vanzare)
19,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii - Ferma Vlasia, Snagov, IF",577.00,"15,744.00",a fost parcursa toata procedura de licitatie de inchiriere - fara ofertanti (urmeaza propunere vanzare)
20,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii - Ferma Vlasia, Snagov, IF","1,555.00","18,316.00",in procedura de licitatie publica de vanzare - licitatia 1
21,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,IMOBIL teren DRUM. (sat Vlasia),-,"1,100.00",in procedura de licitatie publica de vanzare - licitatia 1
22,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii Snagov, IF",54.32,605.04,statie pompare - urmeaza dezafectare si valorificare
23,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren, str.Turgheniev nr.18, sect. 1, Bucuresti",-,246.00,au fost parcurse toate procedurile de licitatii publice de inchiriere si vanzare - FARA OFERTANTI (urmeaza propunere vanzare)
24,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din B-dul Mircea Eliade nr.9D, sect. 1",,781.75,nu a fost evaluat (urmeaza propunere vanzare)
25,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din B-dul Mircea Eliade nr.11-13, sect 1",-,458.88,nu a fost evaluat (urmeaza propunere vanzare)
26,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din satul Siliştea Snagovului, com. Gruiu, IF",-,"5,000.00","in procedura de licitatie de vanzare - in Lista imobilelor care pot fi vandute cf Art 8 OUG 101/2011,"
27,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii din str. Zorelelor nr.104A bis, Snagov, IF",159,"3,894.00","in procedura de licitatie de vanzare - in Lista imobilelor care pot fi vandute cf Art 8 OUG 101/2011,"
28,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din str. Zorelelor nr.44A, Snagov, IF",-,"3,742.40","in procedura de licitatie de vanzare - in Lista imobilelor care pot fi vandute cf Art 8 OUG 101/2011,"
29,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren drum acces din str. Tuberozelor nr. 9A, 9B, comuna Snagov, judeţul Ilfov.",-,"1,546.00",drum acces aferent proprietatilor retrocedate - au fost facute solicitari de catre UAT Snagov in vederea preluarii
30,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren aferent puţ apă din str. Merilor nr.12A, Snagov, IF",18,83.00,"in procedura de licitatie de vanzare - in Lista imobilelor care pot fi vandute cf Art 8 OUG 101/2011,"
31,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren drum acces din str. Sarmisegetuza Snagov, IF",-,274.00,drum acces aferent proprietatilor retrocedate - au fost facute solicitari de catre UAT Snagov in vederea preluarii
32,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si drum din str.Intrarea Socului nr.2, comuna Snagov, judeţul Ilfov",-,264.00,deserveste - decantor
33,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din str.Aleea Nufărului nr.1A, Snagov, IF",-,"1,921.00",nu a fost evaluat (urmeaza propunere vanzare)
34,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL Teren din str.Călugăreni nr.2, sat Ghermăneşti, Snagov, IF",-,864.00,"in procedura de licitatie de vanzare - in Lista imobilelor care pot fi vandute cf Art 8 OUG 101/2011,"
35,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren drum acces din Intrarea Violetelor nr.92B, Snagov,IF",-,889.00,drum acces aferent proprietatilor retrocedate - au fost facute solicitari de catre UAT Snagov in vederea preluarii
36,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din str.Sarmisegetuza nr.70A, sat Ghermăneşti, Snagov, IF",-,119.10,"fara cadastru, litigiu deschis de catre SRP Triumf in vederea efectuarii masuratorilor cadastrale"
37,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren drum acces din str.Zorelelor nr.132A, Snagov,IF",-,439.50,drum acces aferent proprietatilor retrocedate - au fost facute solicitari de catre UAT Snagov in vederea preluarii
38,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren - mlastina din str Stirbei Voda nr, 36, Buftea, IF",-,"33,486.26",a fost parcursa toata procedura de licitatie de inchiriere - fara ofertanti (urmeaza propunere vanzare)
39,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren din Aleea Nufarului 1B, Snagov, IF",-,24.00,preluare SAA Scrovistea - nu a fost evaluat (urmeaza alipire Anexa Vila 15)
40,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL teren si constructii din Aleea Nufarului 15F, Snagov, IF",66.3,"6,553.00",preluare SAA Scrovistea - nu a fost evaluat (urmeaza propunere vanzare)
41,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL TRIUMF,,"IMOBIL din sos. Pipera 79-81, sector 1 (Balti)",-,"51,952.00",LITIGIU - suprapunere teren balta 2 iar balta 1 in expertiza in vederea reevaluarii
1,REGIE,,"Sat Nufaru, com. Nufaru, jud. Tulcea",,2000,a trecut prin procedura de vânzare de două ori și nu s-a adjudecat
1,REGIE,Departamentul Bucurestii Noi,"Șoseaua Pipera nr. 79-81, Sector 1",,666.88,Propus spre vanzare - OUG 101/2011
2,REGIE,Departamentul Bucurestii Noi,"B-dul Aviatorilor, nr,14 , Sector 1",,15.00,Procedura de licitatie in curs (12.06.2026)
3,REGIE,Departamentul Bucurestii Noi,"B-dul Bucurestii Noi, nr 40 , Sector 1",32337.14,84241.47,"Situatie juridica neclarificată, preluat in 06.05.2026, documentație cadastrală în curs de actualizare"
1,REGIE,Departamentul Sala Palatului,Ion Câmpineanu nr. 28 Sector 1,58.56,,Procedura de licitatie in curs (raport de evaluare intocmit)- OUG 173/2020
2,REGIE,Departamentul Sala Palatului,Ion Câmpineanu nr. 28 Sector 1,155.08,,Procedura de licitatie in curs (raport de evaluare intocmit)- OUG 173/2020
3,REGIE,Departamentul Sala Palatului,Ion Câmpineanu nr. 28 Sector 1,60.04,,Procedura de licitatie in curs (raport de evaluare intocmit)- OUG 173/2020
4,REGIE,Departamentul Sala Palatului,"Valeriu Braniste nr. 54-56, sector 3",164.8,,Procedura de licitatie finalizata (nu s-a prezentat nici un operator)- OUG 173/2020
5,REGIE,Departamentul Sala Palatului,"Valeriu Braniste nr. 54-56, sector 3",229.15,,Procedura de licitatie finalizata (nu s-a prezentat nici un operator)- OUG 173/2020
